"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.51,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.35,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",27.13,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",16.57,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",26.47,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",20,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",22.99,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",17.52,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",55.07,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",20250.99,"bereinigt"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",26.32,"bereinigt"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",16.44,"bereinigt"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",25.13,"bereinigt"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",23.48,"bereinigt"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",14.78,"bereinigt"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",13.04,"bereinigt"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",58,"bereinigt"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",13646.7,"bereinigt"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",46.96,"bereinigt"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",34.9,"bereinigt"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",36.3,"bereinigt"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",18.24,"bereinigt"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",16.22,"bereinigt"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",14.55,"bereinigt"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",49.97,"bereinigt"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",2.8,"bereinigt"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.71,"bereinigt"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",4.27,"bereinigt"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",51.47,"bereinigt"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",59.94,"bereinigt"
"2023-01-01T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
