"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-02T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",58.38,"bereinigt"
"2024-01-02T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",3.73,"bereinigt"
"2024-01-02T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",1.96,"bereinigt"
"2024-01-02T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",72.14,"bereinigt"
"2024-01-02T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-02T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",5630.19,"bereinigt"
"2024-01-02T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",14.49,"bereinigt"
"2024-01-02T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",7.04,"bereinigt"
"2024-01-02T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",16.91,"bereinigt"
"2024-01-02T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",49.78,"bereinigt"
"2024-01-02T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",3.68,"bereinigt"
"2024-01-02T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",2.38,"bereinigt"
"2024-01-02T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",69.33,"bereinigt"
"2024-01-02T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-02T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",2.86,"bereinigt"
"2024-01-02T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.87,"bereinigt"
"2024-01-02T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",4.13,"bereinigt"
"2024-01-02T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",64.58,"bereinigt"
"2024-01-02T00:00+0100","Zch_Heubeeribüel","PM10","d1","µg/m3",2.15,"bereinigt"
"2024-01-02T00:00+0100","Zch_Heubeeribüel","PM2.5","d1","µg/m3",1.37,"bereinigt"
"2024-01-02T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",77.41,"bereinigt"
"2024-01-02T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.79,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.15,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",2.92,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",0.94,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",4.15,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",75.46,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",3.88,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",1.86,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",81.84,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-03T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",2729.82,"bereinigt"
"2024-01-03T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",6.45,"bereinigt"
"2024-01-03T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",3.25,"bereinigt"
"2024-01-03T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",7.35,"bereinigt"
"2024-01-03T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",74.96,"bereinigt"
"2024-01-03T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",3.72,"bereinigt"
"2024-01-03T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",1.68,"bereinigt"
"2024-01-03T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",82.73,"bereinigt"
"2024-01-03T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-03T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",4065.13,"bereinigt"
"2024-01-03T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",11.33,"bereinigt"
"2024-01-03T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",5.98,"bereinigt"
"2024-01-03T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",12.5,"bereinigt"
